!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Friday, July 31, 2015 14:48:11
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-31.351204,114.09245,-0.20005295,106.35361,-0.20626009,106.34488,-30.331123,-89.321243
4000312500,-31.018929,114.5641,-0.23302473,104.53051,-0.19252375,106.29092,-30.422054,-91.265106
4000625000,-31.021738,114.30018,-0.2249191,104.9928,-0.19826685,106.19566,-30.434008,-91.016457
4000937500,-31.021015,113.76437,-0.21249232,105.46147,-0.20137112,106.10426,-30.414118,-90.652611
4001250000,-31.036913,113.17102,-0.20555834,105.84244,-0.20595893,106.03819,-30.373341,-90.467697
4001562500,-31.062849,112.91702,-0.20403375,105.98915,-0.20667152,105.95884,-30.391953,-89.928383
4001875000,-31.098633,112.83304,-0.20622998,105.97725,-0.21024038,105.88265,-30.361395,-90.05011
4002187500,-31.199394,112.46605,-0.20135425,105.88586,-0.20986931,105.80229,-30.325272,-89.967522
4002500000,-31.227463,112.47244,-0.20255852,105.72718,-0.21003342,105.7246,-30.253916,-89.926353
4002812500,-31.232437,112.47596,-0.20536494,105.58152,-0.20919855,105.64848,-30.256655,-90.158295
4003125000,-31.219702,112.38962,-0.20444606,105.51746,-0.20932485,105.59259,-30.202892,-89.832504
4003437500,-31.264366,112.55016,-0.20596923,105.43822,-0.20849001,105.49821,-30.176497,-89.86412
4003750000,-31.234926,112.5134,-0.2096439,105.37202,-0.20822297,105.4213,-30.218464,-89.693794
4004062500,-31.25016,112.53227,-0.20745926,105.27206,-0.20536277,105.35306,-30.146643,-89.591576
4004375000,-31.164248,112.44136,-0.20684466,105.20924,-0.20698921,105.2888,-30.155016,-89.708649
4004687500,-31.157784,111.92036,-0.20878415,105.13392,-0.20627755,105.18498,-30.142256,-89.760017
4005000000,-31.110172,111.96407,-0.20665905,105.06123,-0.20366468,105.11869,-30.086588,-89.990646
4005312500,-31.121864,111.48626,-0.20917284,105.01314,-0.20398283,105.05589,-30.026266,-89.798424
4005625000,-31.114878,111.3576,-0.208744,104.92999,-0.20485128,104.96268,-29.992033,-90.294807
4005937500,-31.09971,111.19568,-0.20598933,104.87167,-0.20588869,104.89031,-29.981323,-90.129639
4006250000,-31.185074,111.15777,-0.20332381,104.77457,-0.20553052,104.81646,-29.974901,-90.192802
4006562500,-31.215754,110.8904,-0.20553575,104.7,-0.20827106,104.74847,-29.957033,-89.921272
4006875000,-31.205223,110.88062,-0.20370658,104.61935,-0.21158075,104.68018,-29.969296,-90.105003
4007187500,-31.211994,111.07079,-0.20613447,104.54745,-0.20807961,104.59283,-29.972776,-90.08046
4007500000,-31.231483,110.97162,-0.2022168,104.4456,-0.20875281,104.52097,-29.963865,-90.082062
4007812500,-31.112513,111.17631,-0.20548156,104.36881,-0.20913535,104.4481,-29.944519,-90.025154
4008125000,-31.024002,111.40166,-0.20461042,104.28409,-0.20740975,104.36139,-29.95463,-90.029106
4008437500,-30.892052,111.30387,-0.20361264,104.23606,-0.20966798,104.2745,-29.989729,-89.829521
4008750000,-30.820562,111.01654,-0.20469683,104.14008,-0.20803174,104.18752,-29.953457,-90.082047
4009062500,-30.809923,110.2894,-0.20458798,104.07938,-0.20809372,104.11419,-29.965912,-90.271301
4009375000,-30.841681,110.23959,-0.20403312,103.99239,-0.20820187,104.03391,-29.960688,-90.603813
4009687500,-30.813225,109.69173,-0.20448211,103.91321,-0.20763305,103.97937,-29.983622,-90.337456
4010000000,-30.866047,109.44077,-0.20650303,103.85355,-0.20777328,103.89618,-29.996386,-90.488083
4010312500,-30.866175,109.56522,-0.20252956,103.76849,-0.2075294,103.82012,-29.945858,-90.387413
4010625000,-30.813435,109.47292,-0.20674334,103.7028,-0.20758033,103.737,-29.932596,-90.56414
4010937500,-30.812023,109.64711,-0.20720731,103.62267,-0.20613846,103.6611,-29.904812,-90.882881
4011250000,-30.760366,109.69769,-0.2049125,103.54025,-0.20731375,103.59478,-29.9016,-90.969116
4011562500,-30.726503,109.98756,-0.207193,103.46663,-0.20523517,103.51372,-29.804432,-90.922905
4011875000,-30.703388,109.87106,-0.20563915,103.38953,-0.20413066,103.44421,-29.812433,-91.278481
4012187500,-30.69775,110.02196,-0.20608568,103.30732,-0.206642,103.36236,-29.824751,-91.356628
4012500000,-30.701586,110.31983,-0.20347065,103.22441,-0.20958707,103.28577,-29.797155,-91.511696
4012812500,-30.689058,110.59913,-0.2033246,103.13612,-0.20851697,103.21055,-29.840933,-91.436119
4013125000,-30.646807,110.42211,-0.20483062,103.0665,-0.2087993,103.14706,-29.825706,-91.714241
4013437500,-30.60144,110.58024,-0.20518236,103.00963,-0.20769218,103.05795,-29.841557,-91.450104
4013750000,-30.63106,110.23222,-0.20451285,102.92856,-0.20643735,102.9763,-29.735582,-91.581924
4014062500,-30.549017,110.1658,-0.20732942,102.86176,-0.20674603,102.89587,-29.730192,-91.602455
4014375000,-30.524324,109.95836,-0.20566183,102.79611,-0.20482796,102.82365,-29.638462,-91.746407
4014687500,-30.584141,109.64902,-0.20311707,102.71161,-0.20633097,102.75482,-29.615023,-91.685226
4015000000,-30.542179,109.56951,-0.2049901,102.64851,-0.20780054,102.67209,-29.615725,-91.322456
4015312500,-30.568668,109.11321,-0.20523424,102.57849,-0.20762102,102.58734,-29.557968,-91.57943
4015625000,-30.549337,108.81281,-0.20548706,102.4846,-0.20571822,102.52342,-29.540697,-91.276222
4015937500,-30.573454,108.64977,-0.20599011,102.40845,-0.20456663,102.45393,-29.483,-91.3909
4016250000,-30.618109,108.42772,-0.20820841,102.34137,-0.20764209,102.3839,-29.514973,-91.492989
4016562500,-30.583025,108.48096,-0.20689583,102.26242,-0.20643798,102.31255,-29.535088,-91.342163
